ORF	phi	Evolve Steps	Evolve Time	Eta_initial	Eta_final	Final \Delta Eta	Mean Mutation \Delta Eta	Var Mutation \Delta Eta	# Fix
YER003C	0.2356	2206	5002656210	1847.658	1603.087	244.570	0	0	
YJL049W	0.01752	2130	5000543996	1969.604	1753.735	215.868	0	0	
YLR316C	0.05485	1556	5004880582	1369.341	1293.627	75.714	0	0	
YNL129W	0.0513	1270	5000114183	1007.436	948.940	58.495	0	0	
YCR107W	0.001543	1820	5000543818	1544.297	1548.513	-4.216	0	0	
YMR182C	0.001176	1235	5002425970	880.253	947.532	-67.280	0	0	
YOR213C	0.0189	1409	5000490252	1040.076	1167.265	-127.189	0	0	
YNR073C	0.006495	2557	5001157625	2208.247	2350.244	-141.998	0	0	
YGL246C	0.01748	1972	5001505756	1660.094	1843.020	-182.925	0	0	
YJR025C	0.2941	964	5008013888	732.255	762.376	-30.121	0	0	
YKL143W	0.01034	2137	5002151593	2002.461	2412.079	-409.619	0	0	
YHR106W	0.0557	1896	5000307913	1463.906	1440.097	23.809	0	0	
YMR091C	0.08526	2141	5006185161	1894.487	2054.733	-160.245	0	0	
YJR115W	0.01363	1095	5011849419	699.443	730.235	-30.792	0	0	
YKL043W	0.01736	2008	5003682283	1568.895	1629.621	-60.726	0	0	
YHR196W	0.04239	2708	5000639528	2573.549	2768.932	-195.383	0	0	
YER004W	0.1905	1525	5001212415	966.972	1001.334	-34.362	0	0	
YIL071C	0.001783	2082	5000980061	1936.668	2059.805	-123.137	0	0	
YLR418C	0.06154	1989	5000704868	1689.589	1812.057	-122.467	0	0	
YDR527W	0.02328	2078	5005010941	1908.825	2018.304	-109.479	0	0	
YKR106W	0.009907	3213	5005711498	2783.525	2935.602	-152.077	0	0	
YAR071W	0.3374	2256	5001096295	2005.071	1817.627	187.443	0	0	
YKL144C	0.07409	1135	5006957625	886.606	871.292	15.315	0	0	
YMR268C	0.01396	2238	5004577306	1943.034	2329.658	-386.625	0	0	
YLR216C	0.4506	1820	5000555898	1574.916	1135.027	439.890	0	0	
YDR429C	0.6598	1344	5000401329	1149.951	1103.176	46.775	0	0	
YBR270C	0.003391	2730	5000489311	2448.567	2714.624	-266.057	0	0	
YBL001C	0.2903	604	5013428907	427.208	416.449	10.759	0	0	
YOR117W	0.1896	2332	5001914277	1889.781	1564.473	325.308	0	0	
YGL247W	0.03677	1267	5006046568	820.622	874.031	-53.409	0	0	
YLR218C	0.1191	734	5008128597	617.780	590.662	27.118	0	0	
YBL002W	0.7558	788	5009885226	537.323	515.098	22.225	0	0	
YOR214C	0.002285	1456	5005113014	984.825	953.357	31.468	0	0	
YKR015C	0.001142	2624	5001551746	2533.343	2541.436	-8.093	0	0	
YMR183C	0.08119	1612	5000158379	1257.082	1253.934	3.148	0	0	
YJL146W	0.004694	2466	5006780607	2070.099	2261.614	-191.515	0	0	
YER178W	0.5476	2261	5003586871	1797.224	1239.324	557.900	0	0	
YBL003C	0.7568	984	5000596995	540.468	477.551	62.917	0	0	
YOR215C	0.08562	1049	5013184933	765.793	737.255	28.539	0	0	
YJR116W	0.04686	1491	5003994318	1183.501	1175.780	7.721	0	0	
YMR269W	0.1018	1164	5000118340	883.062	873.689	9.374	0	0	
YPR006C	0.01346	2939	5002288550	2574.780	2402.356	172.424	0	0	
YCR005C	0.1254	2474	5001817613	2021.881	1916.549	105.332	0	0	
YMR184W	0.1702	1143	5000576554	820.331	838.195	-17.864	0	0	
YGL148W	0.8332	2084	5001499640	1590.987	979.234	611.753	0	0	
YPR108W	0.2575	2176	5000522266	1835.274	1654.959	180.315	0	0	
YNL225C	0.01132	2835	5002282816	2623.670	2517.464	106.206	0	0	
YDR332W	0.001099	3490	5000127637	3130.458	3580.402	-449.944	0	0	
YNL034W	0.003554	3226	5003318488	2794.014	2853.005	-58.991	0	0	
YBR172C	0.01122	3749	5000385935	3432.257	3593.061	-160.804	0	0	
YDL001W	0.02389	1990	5000952917	1869.598	1975.703	-106.105	0	0	
YIL162W	0.02725	2695	5000808390	2339.463	2493.243	-153.780	0	0	
YCR007C	0.004016	1383	5002168145	1010.295	929.322	80.973	0	0	
YMR001C	0.01702	3572	5000063447	3258.258	3736.843	-478.585	0	0	
YDL101C	0.02531	2606	5000294651	2282.700	2583.071	-300.371	0	0	
YBR173C	0.1338	876	5007827724	608.982	596.979	12.004	0	0	
YOR306C	0.03444	2729	5002525516	2294.096	2359.010	-64.914	0	0	
YGL055W	0.5647	2578	5000749402	2208.940	1388.680	820.261	0	0	
YLR120C	0.1191	3137	5000792084	2533.136	1956.504	576.632	0	0	
YMR002W	0.2622	917	5007038825	646.715	653.743	-7.028	0	0	
YER086W	0.1454	3265	5001037412	2553.740	2488.263	65.477	0	0	
YER179W	0.005929	2072	5009712074	1438.292	1613.531	-175.239	0	0	
YDL002C	0.04502	1246	5004589004	848.052	820.324	27.728	0	0	
YBL097W	0.001671	3548	5001111928	3437.886	4201.347	-763.461	0	0	
YNL130C	0.186	2132	5003450560	1689.101	1468.244	220.857	0	0	
YBR271W	0.04038	2518	5000480597	1813.635	2096.021	-282.385	0	0	
YHR107C	0.1328	2116	5003840416	1763.049	1885.731	-122.682	0	0	
YIL164C	0.002122	1230	5005157092	825.587	872.394	-46.807	0	0	
YNL131W	0.1762	878	5001187432	627.299	689.046	-61.747	0	0	
YPR109W	0.02003	1863	5001226255	1254.913	1422.702	-167.788	0	0	
YMR003W	0.03417	1222	5001633824	822.392	854.803	-32.410	0	0	
YDR046C	0.09432	3234	5001717822	2680.711	2722.680	-41.969	0	0	
YIL165C	0.09662	772	5009781180	489.580	527.643	-38.063	0	0	
YOR019W	0.002115	3565	5000635219	3387.338	3668.890	-281.553	0	0	
YNR074C	0.03016	2370	5001418168	1626.456	1753.459	-127.003	0	0	
YPL104W	0.01068	3280	5001655626	2977.525	3379.529	-402.004	0	0	
YGL248W	0.03659	2037	5000825597	1586.499	1822.076	-235.577	0	0	
YER180C	0.00281	1492	5002388911	1124.786	1214.848	-90.062	0	0	
YFR013W	0.01673	3851	5000045122	3660.612	3928.774	-268.161	0	0	
YOR020C	0.5686	686	5009547826	433.415	442.894	-9.479	0	0	
YMR270C	0.02321	2030	5001571203	1569.024	1648.610	-79.586	0	0	
YBR175W	0.03034	1885	5005769473	1339.013	1348.694	-9.681	0	0	
YLR028C	0.1695	3142	5000130552	2621.413	2193.894	427.518	0	0	
YJR026W	0.2029	2321	5003303696	1904.776	1775.535	129.242	0	0	
YDR528W	0.0035	2191	5000105252	1847.847	1877.894	-30.047	0	0	
YNL035C	0.01973	2212	5002084052	1675.872	1609.692	66.180	0	0	
YOR216C	0.0279	2232	5000672739	2136.955	1869.016	267.939	0	0	
YKL045W	0.04962	2402	5001076219	2367.836	2249.419	118.418	0	0	
YDR529C	0.2725	853	5007840863	520.892	518.352	2.540	0	0	
YJR117W	0.2484	2194	5003190655	1960.817	1399.136	561.682	0	0	
YOR021C	0.3281	1348	5004288756	888.242	853.040	35.202	0	0	
YMR271C	0.007256	1404	5001279840	953.021	1041.727	-88.706	0	0	
YER182W	0.04003	1471	5002117161	1022.389	1132.776	-110.387	0	0	
YER005W	0.03002	3220	5000194530	2883.201	3260.517	-377.316	0	0	
YNL036W	0.08426	1261	5011535658	928.733	898.500	30.233	0	0	
YBR176W	0.01949	1780	5001297753	1328.881	1231.108	97.773	0	0	
YLR029C	2.91	1335	5000516681	839.084	514.658	324.426	0	0	
YJR118C	0.0391	1175	5005958901	841.843	856.409	-14.566	0	0	
YER183C	0.05868	1247	5000657537	883.439	911.858	-28.419	0	0	
YIL072W	0.002951	3035	5000405900	2739.882	2764.485	-24.603	0	0	
YPR110C	0.293	2032	5003032439	1414.483	1352.961	61.522	0	0	
YDR047W	0.1045	2136	5005047175	1554.452	1511.433	43.019	0	0	
YJL147C	0.002578	2315	5000075719	1663.347	1764.254	-100.906	0	0	
YNR075W	0.001212	2190	5001229637	1607.250	1761.197	-153.947	0	0	
YKL145W	0.5066	2369	5001622912	2001.232	1300.776	700.456	0	0	
YNR076W	0.1148	812	5000468240	494.227	464.903	29.325	0	0	
YOR307C	0.01717	2751	5003237848	1999.409	1969.204	30.205	0	0	
YGR178C	0.1377	3607	5000260352	3266.702	2584.566	682.135	0	0	
YJL148W	0.213	1211	5001260023	969.916	1011.428	-41.511	0	0	
YDR530C	0.01203	1809	5002021328	1385.665	1396.553	-10.888	0	0	
YMR092C	0.2034	3281	5002428200	2715.047	2396.197	318.850	0	0	
YLR030W	0.001813	1542	5006376502	1114.307	1213.905	-99.598	0	0	
YPR007C	0.01208	3177	5000051472	3122.377	3076.341	46.035	0	0	
YGL056C	0.03836	2959	5007116685	2360.890	2536.834	-175.944	0	0	
YBR272C	0.01893	2933	5000866757	2104.305	2552.761	-448.456	0	0	
YFR014C	0.0113	2711	5001489591	1949.478	2178.887	-229.409	0	0	
YLR031W	0.003516	1192	5007860680	775.931	714.668	61.264	0	0	
YCR008W	0.01509	3237	5000185445	2699.328	2535.872	163.456	0	0	
YDL003W	0.04305	2949	5000950580	2522.366	2583.850	-61.483	0	0	
YMR004W	0.02221	2931	5000640015	2266.356	2653.498	-387.142	0	0	
YBL098W	0.01906	2762	5001878489	2004.124	1856.249	147.875	0	0	
YLR121C	0.02631	3307	5000744612	2243.477	2169.424	74.054	0	0	
YIL166C	0.001756	2821	5003626213	2434.158	2613.155	-178.997	0	0	
YNL037C	0.1664	2189	5001206052	1531.438	1378.390	153.048	0	0	
YER087W	0.02942	3192	5001131250	2572.059	2330.251	241.807	0	0	
YMR272C	0.2273	2159	5000818574	1652.128	1309.841	342.287	0	0	
YLL001W	0.02503	3985	5000510323	3511.957	3260.415	251.543	0	0	
YLR125W	0.002351	718	5009184583	562.362	608.602	-46.241	0	0	
YOR118W	0.01926	2817	5000739437	2553.034	2659.782	-106.748	0	0	
YDL004W	0.2121	1058	5005370007	662.525	710.081	-47.555	0	0	
YKR016W	0.04775	2701	5000008170	2418.084	2535.864	-117.780	0	0	
YNL227C	0.009971	2785	5000928456	2629.097	3111.738	-482.641	0	0	
YLR219W	0.02608	3954	5001040606	3329.004	3267.069	61.935	0	0	
YNL321W	0.02763	4736	5000801263	4380.721	3529.800	850.921	0	0	
YOL001W	0.006096	1811	5006891815	1237.886	1285.313	-47.427	0	0	
YGL057C	0.01415	1694	5006124681	1211.619	1107.335	104.284	0	0	
YDR531W	0.07097	2036	5001280111	1576.242	1293.391	282.851	0	0	
YNL038W	0.01603	1433	5002125460	967.272	874.773	92.499	0	0	
YKL046C	0.2787	2450	5001129030	1944.781	1501.818	442.963	0	0	
YCR009C	0.1882	1578	5000874684	1121.419	1013.823	107.597	0	0	
YHR108W	0.06482	3088	5001638809	2620.820	2662.890	-42.070	0	0	
YLR126C	0.04394	1382	5003766889	1061.581	1086.131	-24.551	0	0	
YGL058W	0.1486	911	5002081059	709.904	679.564	30.340	0	0	
YGR179C	0.01039	2188	5001824075	1765.530	1808.106	-42.576	0	0	
YHR020W	0.5549	3520	5002618034	3038.296	378.770	2659.527	0	0	
YBR177C	0.1261	2702	5002760264	1944.605	1664.034	280.571	0	0	
YHR021C	6.193	526	5001294556	333.774	274.158	59.617	0	0	
YGR083C	0.06446	3544	5001474620	2925.662	2916.238	9.424	0	0	
YLR318W	0.0004355	4263	5001163204	4224.608	4700.351	-475.743	0	0	
YDR333C	0.02007	3650	5003988867	3346.621	3678.214	-331.593	0	0	
YHR197W	0.1268	3918	5002729286	3519.395	2927.495	591.899	0	0	
YHR021WA	0.003246	945	5001861026	622.376	700.886	-78.510	0	0	
YPR111W	0.004582	2821	5001265933	2526.323	2901.925	-375.602	0	0	
YCR010C	0.01115	1749	5002170324	1196.948	1100.415	96.533	0	0	
YGL249W	0.000912	3240	5004262754	3265.548	3663.347	-397.799	0	0	
YLR220W	0.05697	2070	5000270108	1364.546	1403.642	-39.096	0	0	
YMR005W	0.09731	2361	5000122485	1689.905	1637.958	51.948	0	0	
YPL195W	0.03792	4618	5002973511	4446.558	4297.653	148.905	0	0	
YBR273C	0.0739	2702	5001685180	1912.243	1841.470	70.773	0	0	
YDL005C	0.0375	2171	5001569375	1851.430	1959.755	-108.325	0	0	
YOR308C	0.005016	2866	5006772922	2638.308	2627.579	10.729	0	0	
YOL002C	0.1879	1882	5001108751	1339.756	1249.765	89.991	0	0	
YLR221C	0.07238	1229	5022241053	912.612	901.860	10.752	0	0	
YLL002W	0.01937	2802	5000741279	1898.680	2302.407	-403.727	0	0	
YER006W	0.2353	3114	5001457208	2290.654	1798.878	491.776	0	0	
YNL229C	0.09501	2020	5004621256	1511.506	1414.729	96.778	0	0	
YGR180C	0.7238	1768	5000482605	1454.268	1229.641	224.627	0	0	
YMR093W	0.04337	3200	5000284510	2272.979	1887.299	385.681	0	0	
YDR049W	0.01901	3294	5002194697	2863.160	3265.004	-401.844	0	0	
YGR181W	0.3003	573	5003089967	431.075	442.917	-11.843	0	0	
YGR183C	0.161	366	5002874658	268.605	262.991	5.614	0	0	
YGL250W	0.009544	1278	5012032149	1005.370	1064.211	-58.841	0	0	
YHR198C	0.009163	1995	5000500940	1360.346	1537.926	-177.580	0	0	
YER007CA	0.2938	1024	5002661802	750.678	765.530	-14.852	0	0	
YNL322C	0.7138	2214	5002285552	1325.862	735.216	590.647	0	0	
YDR532C	0.006766	2049	5001012912	1652.921	1888.847	-235.925	0	0	
YHR022C	0.002475	1584	5001895213	1077.301	1104.777	-27.477	0	0	
YOR022C	0.009137	3634	5001299198	3325.639	4088.939	-763.300	0	0	
YKL047W	0.004773	2471	5002560626	2291.877	2365.200	-73.323	0	0	
YOR119C	0.03991	2643	5000817420	2102.635	2024.596	78.039	0	0	
YGR084C	0.05087	2151	5000641954	1452.147	1455.750	-3.603	0	0	
YJL149W	0.01309	3242	5000157028	3012.576	3193.161	-180.585	0	0	
YPL196W	0.02646	1655	5002376135	1158.272	1179.803	-21.531	0	0	
YGL059W	0.002873	2841	5002328940	2165.584	2287.806	-122.222	0	0	
YDR533C	0.2609	1384	5007570571	985.410	767.949	217.460	0	0	
YJL151C	0.4786	778	5007318464	545.615	550.160	-4.546	0	0	
YJR119C	0.002466	3460	5000557099	3335.784	3656.680	-320.895	0	0	
YHR199C	0.04142	1850	5000170228	1320.274	1316.406	3.868	0	0	
YPR008W	0.01919	3377	5000547756	3172.570	3549.177	-376.607	0	0	
YOL003C	0.01123	2303	5001313066	1620.717	1806.547	-185.830	0	0	
YJR120W	0.02325	807	5005000166	474.957	487.456	-12.500	0	0	
YDR050C	15.69	1445	5001224639	1015.480	384.384	631.096	0	0	
YDL006W	0.01795	1604	5000557945	1201.098	1290.125	-89.027	0	0	
YHR109W	0.002945	3072	5001141269	2628.525	3251.718	-623.193	0	0	
YOR120W	0.003163	1833	5000664276	1335.133	1284.591	50.542	0	0	
YNL039W	0.02081	3226	5004202483	2666.496	2413.422	253.074	0	0	
YPL105C	0.03237	4344	5001012581	4010.601	4433.991	-423.390	0	0	
YGR274C	0.01059	5217	5000133019	5230.731	5872.786	-642.055	0	0	
YOR122C	0.4667	732	5004471489	520.057	517.415	2.642	0	0	
YGR085C	11.68	1055	5002348256	709.548	381.954	327.594	0	0	
YER184C	0.002	3953	5001520301	3755.576	3761.191	-5.616	0	0	
YGR275W	0.1005	853	5005206077	650.505	653.034	-2.528	0	0	
YNL230C	0.001176	2148	5002880446	1640.651	1804.267	-163.616	0	0	
YNL323W	0.08303	2375	5010396042	1781.190	1426.826	354.364	0	0	
YHR110W	0.0544	1239	5009059416	886.620	861.417	25.203	0	0	
YPR009W	0.01286	1563	5003191085	1131.581	1152.448	-20.867	0	0	
YKR017C	0.003031	2661	5002095242	2449.455	2492.333	-42.878	0	0	
YHR200W	0.4091	1574	5002944936	1128.117	873.082	255.035	0	0	
YBR274W	0.02126	2911	5001908118	2353.208	2268.125	85.083	0	0	
YMR094W	0.003342	2929	5003665408	2075.366	2558.823	-483.457	0	0	
YDR051C	0.08132	1984	5000744287	1425.894	1503.276	-77.382	0	0	
YFR015C	0.004561	3986	5002525617	3217.963	3520.492	-302.529	0	0	
YPL198W	1.233	1420	5001209006	1014.631	744.304	270.327	0	0	
YER088C	0.08433	3680	5001239830	3038.946	2858.695	180.251	0	0	
YDR430C	0.01147	5006	5000841585	4771.266	5568.810	-797.544	0	0	
YOL090W	0.03354	4937	5000332103	4627.146	4989.943	-362.796	0	0	
YER007W	0.007698	2911	5001470363	2306.088	2407.388	-101.300	0	0	
YKL146W	0.08747	3849	5001094086	3126.675	2719.804	406.871	0	0	
YER185W	0.005824	1941	5006728381	1287.941	1257.045	30.895	0	0	
YMR095C	0.001933	1339	5003489206	941.855	943.106	-1.251	0	0	
YPL199C	0.1576	1333	5010204349	1000.552	942.885	57.667	0	0	
YNL231C	0.1618	2101	5004884802	1514.221	1530.838	-16.617	0	0	
YDR238C	0.1746	4995	5000931924	4580.779	1714.330	2866.449	0	0	
YPL200W	0.005867	871	5004674656	647.698	711.016	-63.318	0	0	
YOR123C	0.1061	2434	5000477435	2013.911	1985.769	28.142	0	0	
YBR079C	0.245	4853	5000757757	4464.834	1903.753	2561.081	0	0	
YAL001C	0.008886	5814	5000744103	5864.535	5806.196	58.340	0	0	
YER186C	0.005406	1589	5000466299	1300.763	1352.034	-51.271	0	0	
YNL040W	0.03843	2694	5001942354	2005.074	2266.140	-261.066	0	0	
YJL153C	0.003494	3108	5000814006	2387.992	2621.160	-233.168	0	0	
YOR310C	0.7309	2767	5003076369	2183.638	914.607	1269.031	0	0	
YMR096W	0.01844	1718	5000899807	1259.437	1242.829	16.608	0	0	
YER187W	0.006378	772	5002569057	581.575	560.320	21.255	0	0	
YGR086C	0.3298	2090	5000071397	1433.758	1201.726	232.032	0	0	
YHR201C	0.1238	2314	5001556964	1716.637	1727.819	-11.182	0	0	
YER189W	0.01578	701	5008126956	501.916	505.800	-3.884	0	0	
YKL048C	0.001026	3278	5000813575	2894.816	3415.982	-521.166	0	0	
YHR111W	0.0543	2666	5007107738	1921.077	1833.662	87.414	0	0	
YOR023C	0.03348	3395	5000990962	2548.404	2841.049	-292.646	0	0	
YNL232W	0.2157	1837	5000884812	1235.808	1234.572	1.236	0	0	
YLR127C	0.001029	4228	5001063255	4053.824	4005.946	47.877	0	0	
YGL060W	0.02292	3328	5000586897	2915.428	2546.473	368.956	0	0	
YOR311C	0.07606	1733	5001428095	1227.318	1195.492	31.826	0	0	
YMR273C	0.01901	4496	5000997414	4410.404	4248.950	161.454	0	0	
YKL049C	0.02826	1475	5001778944	964.199	1092.405	-128.206	0	0	
YLR319C	0.008094	4304	5002720986	3693.214	4214.170	-520.957	0	0	
YDR534C	0.01477	3488	5002222790	2331.116	2635.966	-304.850	0	0	
YMR006C	0.09737	3761	5000440262	3177.961	3094.598	83.363	0	0	
YOR217W	0.02893	4680	5000519927	4075.385	4239.425	-164.040	0	0	
YDR432W	0.2192	2575	5003013928	1796.630	1618.716	177.915	0	0	
YER089C	0.1105	2811	5003404624	2005.444	1597.398	408.046	0	0	
YDL007W	0.362	2592	5000227837	1903.097	1118.328	784.768	0	0	
YOR312C	2.386	1032	5007423933	714.719	615.804	98.914	0	0	
YLR128W	0.01315	1459	5000450372	1125.522	1303.726	-178.204	0	0	
YMR097C	0.008741	2246	5000355895	1564.685	1823.362	-258.677	0	0	
YGL061C	0.01501	1492	5002463324	1045.988	1067.696	-21.708	0	0	
YGR276C	0.07373	3244	5001561276	2462.508	1938.500	524.008	0	0	
YBR179C	0.008956	4285	5000674114	4047.576	5072.076	-1024.500	0	0	
YDL008W	0.09814	841	5009380368	685.349	673.198	12.152	0	0	
YMR185W	0.002383	4961	5000658219	4863.098	5572.076	-708.978	0	0	
YHR112C	0.07573	2410	5002523920	1624.418	1646.601	-22.183	0	0	
YMR274C	0.04166	1976	5007136535	1351.407	1413.963	-62.557	0	0	
YDL102W	0.03604	5603	5001544682	5386.807	4983.167	403.640	0	0	
YDL010W	0.04317	1360	5002291576	965.781	1023.070	-57.290	0	0	
YPL201C	0.004302	2512	5001937820	2016.431	2279.643	-263.211	0	0	
YOR025W	0.007488	2756	5000201063	1966.439	2161.170	-194.731	0	0	
YPR112C	0.04206	4313	5000146074	4195.434	3721.850	473.584	0	0	
YDL012C	0.322	536	5001447161	442.309	442.739	-0.430	0	0	
YOR313C	0.001315	2036	5001151968	1454.074	1504.595	-50.521	0	0	
YBL099W	0.2293	3666	5000343931	2400.103	1814.705	585.398	0	0	
YDR052C	0.005337	3516	5000251120	3243.810	3863.049	-619.239	0	0	
YPR113W	0.335	1296	5004631119	920.172	954.965	-34.793	0	0	
YGR277C	0.1336	1859	5000935086	1296.796	1323.453	-26.657	0	0	
YLL003W	0.004734	4535	5001087105	4598.641	5189.137	-590.496	0	0	
YOL091W	0.00178	3241	5000683465	2745.585	2750.695	-5.110	0	0	
YLR222C	0.1207	4099	5000119964	3763.585	3762.682	0.904	0	0	
YOR026W	0.02064	1868	5004019607	1442.608	1649.150	-206.542	0	0	
YDR054C	0.03081	1560	5000641672	1242.222	1350.632	-108.409	0	0	
YJL050W	0.04563	5370	5001654265	5283.211	3968.418	1314.793	0	0	
YOR315W	0.01672	1946	5002366125	1482.997	1681.918	-198.921	0	0	
YHR202W	0.01619	3528	5001687282	2693.709	3491.680	-797.971	0	0	
YJR121W	0.2895	3314	5002011730	2237.244	1645.012	592.232	0	0	
YNL132W	0.06657	5458	5000139170	5099.801	3685.923	1413.878	0	0	
YKL148C	0.06066	3970	5000201598	2880.647	2557.489	323.158	0	0	
YPR114W	0.1158	1805	5004120618	1345.586	1466.110	-120.525	0	0	
YIL073C	0.001218	4628	5002232355	4734.893	4877.738	-142.845	0	0	
YPL202C	0.01196	2391	5002896614	1792.681	1895.740	-103.060	0	0	
YNL133C	0.01314	968	5004165826	720.610	778.895	-58.284	0	0	
YIL169C	0.0039	6072	5000961454	4906.937	4809.890	97.047	0	0	
YDR434W	0.07994	3134	5002433786	2350.103	2316.168	33.935	0	0	
YGR087C	0.02296	3425	5000133137	2517.893	2573.167	-55.275	0	0	
YER090W	0.1309	3045	5002235439	2220.036	1914.172	305.864	0	0	
YDR536W	0.003412	3447	5006023271	2544.947	3117.341	-572.394	0	0	
YOL092W	0.396	1888	5000135521	1292.796	1102.347	190.449	0	0	
YDL103C	0.1092	2727	5000264394	2081.959	1938.515	143.444	0	0	
YHR113W	0.0824	2975	5002345167	2154.282	2223.528	-69.246	0	0	
YMR098C	0.01166	3251	5001751077	2784.686	2995.217	-210.531	0	0	
YNL325C	0.007812	4809	5000803069	4131.591	4620.252	-488.660	0	0	
YDR538W	0.05276	1638	5002857884	1020.625	1094.352	-73.727	0	0	
YOL093W	0.03784	1714	5002828467	1240.988	1280.202	-39.214	0	0	
YHR203C	6.451	1658	5000492952	1072.783	302.721	770.062	0	0	
YPL203W	0.02879	2277	5006312356	1645.853	1711.300	-65.447	0	0	
YPL106C	0.6869	3896	5001898890	3023.001	89.921	2933.080	0	0	
YKL149C	0.02431	2249	5000888266	1748.917	1963.090	-214.172	0	0	
YDR435C	0.01701	2100	5005682329	1403.728	1377.234	26.493	0	0	
YDR239C	0.02844	4518	5001216109	3631.309	4034.540	-403.231	0	0	
YKR018C	0.1491	3691	5004714840	3287.478	2436.398	851.079	0	0	
YMR099C	0.1815	1664	5000905021	1258.137	1024.907	233.230	0	0	
YLR032W	0.01571	5875	5000444858	5966.897	5557.186	409.711	0	0	
YOR316C	0.06348	2696	5000150572	1899.253	1881.675	17.578	0	0	
YBR180W	0.006945	3555	5000677986	2568.548	2691.987	-123.439	0	0	
YNL134C	0.6426	2091	5001066719	1595.536	1350.371	245.165	0	0	
YPL107W	0.0121	1468	5013274297	1044.426	1127.070	-82.644	0	0	
YNL135C	1.689	684	5004278720	467.179	465.444	1.735	0	0	
YDL013W	0.01251	3302	5000519047	2794.148	2991.603	-197.456	0	0	
YPL108W	0.01772	919	5008573074	697.822	713.989	-16.168	0	0	
YDL104C	0.006777	2483	5002448727	1759.461	2045.064	-285.603	0	0	
YIL074C	0.09235	2834	5002079458	2034.727	1830.304	204.424	0	0	
YNL326C	0.0247	2160	5005936905	1441.954	1773.519	-331.566	0	0	
YOL094C	0.09238	2016	5004327363	1372.423	1456.082	-83.659	0	0	
YNL041C	0.01106	4191	5002712797	3924.798	4637.437	-712.639	0	0	
YLL004W	0.01829	3455	5000706629	2767.523	2663.054	104.468	0	0	
YDR055W	0.4392	2686	5004308394	1909.348	1396.267	513.081	0	0	
YJR122W	0.01215	3175	5000742138	2203.588	2443.688	-240.099	0	0	
YGR278W	0.01061	3571	5003299979	2604.073	2848.507	-244.434	0	0	
YKL150W	0.221	1670	5003766214	1267.708	1078.233	189.475	0	0	
YBR080C	0.08344	4580	5001030421	3501.615	3673.283	-171.668	0	0	
YDR056C	0.1139	1145	5001992666	851.189	886.672	-35.483	0	0	
YIL172C	0.001181	3194	5001527025	2628.838	2755.223	-126.385	0	0	
